GISJOIN,GEOID,TotPop,Allocated
G0100490960900,14000US01049960900,3402,116
G0100490961000,14000US01049961000,4154,234
G0100490961100,14000US01049961100,3027,179
G0100490961200,14000US01049961200,2158,77
G0100490961300,14000US01049961300,5465,593
G0100490961400,14000US01049961400,3874,247
G0100510030100,14000US01051030100,5936,398
G0100510030200,14000US01051030200,4596,333
G0100510030300,14000US01051030300,2492,99
G0100510030400,14000US01051030400,6463,513
G0100510030500,14000US01051030500,4501,546
G0100510030600,14000US01051030600,5570,291
G0100510030701,14000US01051030701,6987,593
G0100510030702,14000US01051030702,3561,331
G0100510030800,14000US01051030800,6309,310
G0100510030901,14000US01051030901,5795,231
G0100510030902,14000US01051030902,3493,234
G0100510031000,14000US01051031000,6603,462
G0100510031100,14000US01051031100,3568,133
G0100510031200,14000US01051031200,1526,114
G0100510031300,14000US01051031300,4053,341
G0100530969800,14000US01053969800,5371,253
G0100530969900,14000US01053969900,3463,243
G0100530970100,14000US01053970100,4475,311
G0100530970200,14000US01053970200,1296,84
G0100530970300,14000US01053970300,3343,70
G0100530970400,14000US01053970400,2779,103
G0100530970500,14000US01053970500,4050,206
G0100530970600,14000US01053970600,3733,332
G0100530970700,14000US01053970700,3577,409
G0100550000200,14000US01055000200,3174,148
G0100550000300,14000US01055000300,2590,163
G0100550000400,14000US01055000400,3415,188
G0100550000500,14000US01055000500,1630,110
G0100550000600,14000US01055000600,2041,148
G0100550000700,14000US01055000700,1019,102
G0100550000800,14000US01055000800,1100,267
G0100550000900,14000US01055000900,1985,64
G0100550001000,14000US01055001000,1259,123
G0100550001100,14000US01055001100,4829,291
G0100550001200,14000US01055001200,2672,434
G0100550001300,14000US01055001300,2750,194
G0100550001600,14000US01055001600,3174,367
G0100550001700,14000US01055001700,1586,191
G0100550010100,14000US01055010100,2052,274
G0100550010200,14000US01055010200,4711,315
G0100550010300,14000US01055010300,2425,151
G0100550010401,14000US01055010401,3753,398
G0100550010402,14000US01055010402,4619,270
G0100550010501,14000US01055010501,7920,634
G0100550010502,14000US01055010502,4928,480
G0100550010601,14000US01055010601,4848,273
G0100550010602,14000US01055010602,3458,331
G0100550010700,14000US01055010700,3240,394
G0100550010800,14000US01055010800,2707,180
G0100550010900,14000US01055010900,1601,126
G0100550011001,14000US01055011001,4896,440
G0100550011002,14000US01055011002,4442,256
G0100550011100,14000US01055011100,4822,218
G0100550011200,14000US01055011200,2396,458
G0100570020000,14000US01057020000,1346,132
G0100570020100,14000US01057020100,3068,154
G0100570020200,14000US01057020200,3901,332
G0100570020300,14000US01057020300,3642,175
G0100570020400,14000US01057020400,3466,276
G0100590972900,14000US01059972900,3698,353
G0100590973000,14000US01059973000,4376,716
G0100590973100,14000US01059973100,2375,177
G0100590973200,14000US01059973200,3786,229
G0100590973300,14000US01059973300,2643,175
G0100590973400,14000US01059973400,2377,45
G0100590973500,14000US01059973500,2377,112
G0100590973600,14000US01059973600,1344,148
G0100590973700,14000US01059973700,6069,227
G0100610050100,14000US01061050100,4220,240
G0100610050200,14000US01061050200,2367,93
G0100610050300,14000US01061050300,5239,337
G0100610050400,14000US01061050400,5022,306
G0100610050500,14000US01061050500,4200,347
G0100610050600,14000US01061050600,3655,227
G0100630060000,14000US01063060000,1619,118
G0100630060100,14000US01063060100,3605,218
G0100630060200,14000US01063060200,2467,262
G0100650040000,14000US01065040000,3226,295
G0100650040100,14000US01065040100,1174,130
G0100650040200,14000US01065040200,1124,185
G0100650040300,14000US01065040300,2051,396
G0100650040400,14000US01065040400,4596,922
G0100650040500,14000US01065040500,1427,123
G0100670030100,14000US01067030100,1350,68
G0100670030200,14000US01067030200,2586,147
G0100670030300,14000US01067030300,2722,167
G0100670030400,14000US01067030400,1750,113
G0100670030500,14000US01067030500,5920,362
G0100670030600,14000US01067030600,1596,152
G0100690040100,14000US01069040100,5531,579
G0100690040201,14000US01069040201,9150,570
G0100690040202,14000US01069040202,8228,536
G0100690040301,14000US01069040301,3552,193
G0100690040302,14000US01069040302,3669,168
G0100690040400,14000US01069040400,2366,212
G0100690040500,14000US01069040500,3436,256
G0100690040600,14000US01069040600,1643,103
G0100690040700,14000US01069040700,2651,133
G0100690040800,14000US01069040800,7926,410
G0100690040900,14000US01069040900,4687,252
G0100690041000,14000US01069041000,4793,299
G0100690041100,14000US01069041100,3387,209
G0100690041200,14000US01069041200,1773,97
G0100690041400,14000US01069041400,2883,221
G0100690041500,14000US01069041500,3607,161
G0100690041600,14000US01069041600,5033,270
G0100690041700,14000US01069041700,1204,96
G0100690041800,14000US01069041800,1822,123
G0100690041900,14000US01069041900,7460,312
G0100690042000,14000US01069042000,5329,186
G0100690042100,14000US01069042100,7244,382
G0100710950100,14000US01071950100,5988,342
G0100710950200,14000US01071950200,2942,83
G0100710950300,14000US01071950300,5400,182
G0100710950400,14000US01071950400,1891,89
G0100710950500,14000US01071950500,3197,239
G0100710950600,14000US01071950600,6313,337
G0100710950700,14000US01071950700,4138,163
G0100710950800,14000US01071950800,3125,297
G0100710950900,14000US01071950900,5228,197
G0100710951000,14000US01071951000,4037,179
G0100710951100,14000US01071951100,6337,277
G0100730000100,14000US01073000100,2863,357
